SNR,Model,Config,Modulation,Channel,BER
2.0,vgg,4x4,QPSK,nonideal,0.499490625
4.0,densenet,2x1,BPSK,nonideal,0.499065625
4.0,densenet,2x1,QPSK,nonideal,0.5002125
4.0,densenet,2x2,BPSK,nonideal,0.500375
4.0,densenet,2x2,QPSK,nonideal,0.49924375
4.0,densenet,3x1,BPSK,nonideal,0.498940625
4.0,densenet,3x1,QPSK,nonideal,0.499296875
4.0,densenet,4x1,BPSK,nonideal,0.49968125
4.0,densenet,4x1,QPSK,nonideal,0.501334375
4.0,densenet,4x2,BPSK,nonideal,0.499759375
4.0,densenet,4x2,QPSK,nonideal,0.5012375
4.0,densenet,4x4,BPSK,nonideal,0.49996875
4.0,densenet,4x4,QPSK,nonideal,0.499446875
4.0,mobilenetv2,2x1,BPSK,nonideal,0.50034375
4.0,mobilenetv2,2x1,QPSK,nonideal,0.501065625
4.0,mobilenetv2,2x2,BPSK,nonideal,0.500190625
4.0,mobilenetv2,2x2,QPSK,nonideal,0.49989375
4.0,mobilenetv2,3x1,BPSK,nonideal,0.49983125
4.0,mobilenetv2,3x1,QPSK,nonideal,0.499890625
4.0,mobilenetv2,4x1,BPSK,nonideal,0.500140625
4.0,mobilenetv2,4x1,QPSK,nonideal,0.500790625
4.0,mobilenetv2,4x2,BPSK,nonideal,0.500053125
4.0,mobilenetv2,4x2,QPSK,nonideal,0.499915625
4.0,mobilenetv2,4x4,BPSK,nonideal,0.499165625
4.0,mobilenetv2,4x4,QPSK,nonideal,0.498640625
4.0,resnet50,2x1,BPSK,nonideal,0.4990625
4.0,resnet50,2x1,QPSK,nonideal,0.50056875
4.0,resnet50,2x2,BPSK,nonideal,0.498990625
4.0,resnet50,2x2,QPSK,nonideal,0.5003
4.0,resnet50,3x1,BPSK,nonideal,0.498771875
4.0,resnet50,3x1,QPSK,nonideal,0.498946875
4.0,resnet50,4x1,BPSK,nonideal,0.5003625
4.0,resnet50,4x1,QPSK,nonideal,0.4999875
4.0,resnet50,4x2,BPSK,nonideal,0.50144375
4.0,resnet50,4x2,QPSK,nonideal,0.49959375
4.0,resnet50,4x4,BPSK,nonideal,0.4993875
4.0,resnet50,4x4,QPSK,nonideal,0.499590625
4.0,vgg,2x1,BPSK,nonideal,0.501365625
4.0,vgg,2x1,QPSK,nonideal,0.500103125
4.0,vgg,2x2,BPSK,nonideal,0.502015625
4.0,vgg,2x2,QPSK,nonideal,0.500340625
4.0,vgg,3x1,BPSK,nonideal,0.500896875
4.0,vgg,3x1,QPSK,nonideal,0.499384375
4.0,vgg,4x1,BPSK,nonideal,0.498003125
